City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current description
305,Lafayette,30.23,-92.07,66.0,77,90,5.82,US,overcast clouds
306,Samarai,-10.62,150.67,81.16,78,12,10.09,PG,few clouds
307,Clyde,41.3,-82.98,57.0,75,23,1.01,US,few clouds
308,Torbay,47.67,-52.73,33.01,87,20,4.7,CA,few clouds
309,Broome,42.25,-75.83,53.01,81,75,9.17,US,broken clouds
310,Faya,18.39,42.45,55.4,93,0,2.21,SA,clear sky
311,Maarianhamina,60.1,19.93,37.4,93,90,6.93,AX,overcast clouds
312,Xuanhua,40.61,115.04,9.3,75,0,17.56,CN,clear sky
313,Rosarito,32.33,-117.03,62.6,55,40,5.82,MX,scattered clouds
314,Milyutinskaya,48.63,41.67,27.16,93,100,18.19,RU,light snow
315,Ola,59.58,151.28,-4.29,84,55,15.88,RU,broken clouds
316,Myitkyina,25.38,97.4,57.45,78,0,1.86,MM,clear sky
317,Prince George,53.92,-122.75,28.99,92,90,9.17,CA,light snow
318,Necochea,-38.55,-58.74,71.01,45,89,11.9,AR,overcast clouds
319,Mildura,-34.2,142.15,71.6,26,100,9.17,AU,overcast clouds
320,Palmer,42.16,-72.33,43.0,100,90,8.05,US,mist
321,Carutapera,-1.2,-46.02,80.92,76,90,9.22,BR,light rain
322,Cheremukhovo,60.35,59.99,15.85,91,100,3.78,RU,overcast clouds
323,Hami,42.8,93.45,13.14,70,0,6.67,CN,clear sky
324,Mouila,-1.87,11.06,75.31,93,100,2.28,GA,light rain
325,Ancud,-41.87,-73.82,57.99,66,75,10.29,CL,broken clouds
326,Camacha,33.08,-16.33,62.6,72,75,1.12,PT,broken clouds
327,Tocopilla,-22.09,-70.2,70.63,52,18,7.85,CL,few clouds
328,Sibolga,1.74,98.78,74.66,78,100,3.44,ID,light rain
329,Naze,28.37,129.48,66.2,63,70,11.41,JP,broken clouds
330,Cayenne,4.93,-52.33,80.6,88,0,4.7,GF,heavy intensity rain
331,Goya,-29.14,-59.26,94.86,40,40,13.78,AR,moderate rain
332,Aksarka,66.56,67.8,5.97,90,0,10.09,RU,clear sky
333,Havoysund,71.0,24.66,33.8,86,100,12.75,NO,light snow
334,Half Moon Bay,37.46,-122.43,55.4,82,1,11.41,US,clear sky
335,Laguna,38.42,-121.42,55.0,81,90,8.05,US,overcast clouds
336,Flin Flon,54.77,-101.86,15.8,92,90,10.29,CA,light snow
337,Yangjiang,21.85,111.97,68.07,88,100,4.79,CN,overcast clouds
338,Lebedinyy,58.52,125.52,-34.06,84,100,1.03,RU,overcast clouds
339,George,-33.96,22.46,60.8,82,0,2.24,ZA,clear sky
340,Sorong,-0.88,131.25,78.89,83,3,6.22,ID,clear sky
341,Touros,-5.2,-35.46,82.4,65,20,12.75,BR,few clouds
342,Kamina,-8.74,24.99,65.89,98,100,3.96,CD,overcast clouds
343,Ndioum,16.51,-14.65,78.44,16,58,10.71,SN,broken clouds
344,Amot,59.57,7.99,35.01,94,100,3.0,NO,light snow
345,Isla Vista,34.41,-119.86,71.01,49,1,19.46,US,clear sky
346,Juneau,58.3,-134.42,34.0,100,90,7.16,US,fog
347,Hualmay,-11.1,-77.61,72.18,69,6,10.29,PE,clear sky
348,Tabas,33.6,56.92,41.0,56,0,2.24,IR,clear sky
349,Guadalupe Y Calvo,26.1,-106.97,57.51,37,0,9.04,MX,clear sky
350,Bin Qirdan,33.14,11.22,59.02,75,54,22.46,TN,light rain
351,Manaus,-3.1,-60.02,89.6,55,20,8.05,BR,few clouds
352,Katsuura,35.13,140.3,51.8,76,40,6.93,JP,scattered clouds
353,Kalemie,-5.95,29.19,69.08,83,95,3.09,CD,overcast clouds
354,Varzea Alegre,-5.35,-40.38,89.33,26,2,5.57,BR,clear sky
355,Axim,4.87,-2.24,79.66,84,90,6.38,GH,light rain
356,Ponta Do Sol,32.67,-17.1,62.6,93,75,5.82,PT,broken clouds
357,Almaznyy,48.04,40.05,33.8,80,75,24.61,RU,broken clouds
358,Bilecik,40.0,30.17,53.6,76,75,8.05,TR,light rain
359,Okhotsk,59.38,143.3,-2.38,82,100,21.34,RU,overcast clouds
360,Isangel,-19.55,169.27,81.68,79,23,18.61,VU,few clouds
361,Sangar,63.92,127.47,-46.66,78,55,1.41,RU,broken clouds
